Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,13.97,13.97,3,13.99,13.99,4,14.22,14.22,1,13.81,13.81
3,10.19,24.16,4,10.34,24.33,1,9.70,23.92,2,10.25,24.06
3,9.37,33.53,4,9.36,33.69,2,9.44,33.36,1,9.28,33.34
2,9.20,42.73,3,9.10,42.79,4,9.46,42.82,1,9.29,42.63
2,9.27,52.00,3,9.28,52.07,4,9.39,52.21,1,9.25,51.88
2,9.21,1:01.21,3,9.22,1:01.29,4,9.19,1:01.40,1,9.22,1:01.10
1,8.88,1:10.09,3,8.93,1:10.22,4,9.00,1:10.40,2,9.10,1:10.20
1,8.93,1:19.02,2,8.83,1:19.05,3,8.80,1:19.20,4,9.19,1:19.39
3,9.08,1:28.094,1,8.79,1:27.831,2,8.78,1:27.978,4,9.83,1:29.218
