ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Magdalena SZWAJLIK POSITION,Magdalena SZWAJLIK LAP TIME,Magdalena SZWAJLIK ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME
1,14.22,14.22,2,14.26,14.26,4,14.36,14.36,3,14.35,14.35
1,10.82,25.04,2,10.88,25.14,4,10.87,25.23,3,10.80,25.15
2,10.96,36.00,3,11.00,36.14,4,11.04,36.27,1,10.73,35.88
2,10.65,46.65,3,10.60,46.74,4,10.62,46.89,1,10.66,46.54
2,10.76,57.41,3,10.75,57.49,4,10.73,57.62,1,10.80,57.34
1,10.55,1:07.96,2,10.67,1:08.16,4,10.77,1:08.39,3,10.91,1:08.25
1,10.16,1:18.12,2,10.06,1:18.22,4,10.44,1:18.83,3,10.34,1:18.59
1,10.07,1:28.19,2,10.06,1:28.28,4,10.48,1:29.31,3,10.40,1:28.99
1,10.35,1:38.532,2,10.36,1:38.638,4,11.07,1:40.373,3,10.86,1:39.841
