TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
2,8.83,8.83,4,9.14,9.14,3,8.98,8.98,1,8.73,8.73,5,9.37,9.37
2,11.39,20.22,4,11.30,20.44,3,11.38,20.36,1,11.42,20.15,5,11.38,20.75
2,11.23,31.45,4,11.27,31.71,3,11.23,31.59,1,11.24,31.39,5,11.20,31.95
2,11.25,42.70,4,11.20,42.91,3,11.23,42.82,1,11.25,42.64,5,11.17,43.12
2,11.12,53.82,4,11.13,54.04,3,11.13,53.95,1,11.10,53.74,5,11.20,54.32
2,10.69,1:04.51,4,10.71,1:04.75,3,10.70,1:04.65,1,10.68,1:04.42,5,10.69,1:05.01
2,10.37,1:14.88,4,10.32,1:15.07,3,10.34,1:14.99,1,10.37,1:14.79,5,10.23,1:15.24
2,10.36,1:25.24,4,10.38,1:25.45,3,10.36,1:25.35,1,10.38,1:25.17,5,10.40,1:25.64
1,10.37,1:35.61,4,10.45,1:35.90,3,10.40,1:35.75,2,10.50,1:35.67,5,10.44,1:36.08
1,10.26,1:45.87,4,10.38,1:46.28,2,10.20,1:45.95,3,10.43,1:46.10,5,10.33,1:46.41
2,10.26,1:56.13,5,10.63,1:56.91,1,9.94,1:55.89,4,10.29,1:56.39,3,9.92,1:56.33
3,10.36,2:06.49,5,11.16,2:08.07,2,10.23,2:06.12,4,10.37,2:06.76,1,9.67,2:06.00
3,10.55,2:17.04,5,11.72,2:19.79,2,10.69,2:16.81,4,10.56,2:17.32,1,9.84,2:15.84
3,10.75,2:27.785,5,12.14,2:31.923,2,10.85,2:27.659,4,10.70,2:28.020,1,10.24,2:26.073
