KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME
5,9.699,9.699,6,9.921,9.921,4,9.502,9.502,1,9.225,9.225,3,9.427,9.427,2,9.331,9.331
4,11.782,21.481,6,11.745,21.665,5,12.063,21.565,1,11.882,21.107,3,11.934,21.360,2,12.004,21.335
4,11.629,33.110,5,11.616,33.281,6,11.985,33.549,1,11.516,32.622,2,11.573,32.933,3,11.764,33.098
3,11.882,44.991,5,11.880,45.161,6,11.768,45.317,2,12.338,44.959,1,12.003,44.935,4,11.939,45.037
1,10.171,55.162,3,10.216,55.377,2,9.915,55.231,4,10.480,55.439,5,10.537,55.472,6,10.459,55.495
1,10.165,1:05.327,2,9.993,1:05.369,4,10.281,1:05.512,3,10.069,1:05.508,5,10.125,1:05.596,6,10.138,1:05.633
3,10.627,1:15.953,1,10.569,1:15.937,2,10.429,1:15.940,4,10.601,1:16.108,6,10.610,1:16.206,5,10.519,1:16.152
3,10.724,1:26.676,2,10.721,1:26.658,1,10.586,1:26.525,4,10.600,1:26.707,6,10.744,1:26.949,5,10.747,1:26.898
3,10.722,1:37.398,1,10.646,1:37.304,5,10.939,1:37.464,2,10.631,1:37.338,4,10.464,1:37.412,6,10.655,1:37.553
2,9.845,1:47.242,4,10.152,1:47.455,6,10.264,1:47.727,1,9.603,1:46.940,3,9.891,1:47.303,5,10.125,1:47.677
2,9.982,1:57.224,4,10.100,1:57.555,5,9.877,1:57.604,1,10.163,1:57.103,3,9.926,1:57.229,6,10.007,1:57.684
2,10.058,2:07.282,5,10.360,2:07.915,4,9.890,2:07.494,1,10.146,2:07.248,3,10.187,2:07.415,6,10.322,2:08.006
1,10.035,2:17.316,5,10.287,2:18.201,4,10.469,2:17.962,3,10.695,2:17.943,2,9.956,2:17.371,6,10.314,2:18.319
1,10.46,2:27.767,4,10.53,2:28.727,6,11.13,2:29.083,3,10.44,2:28.379,2,10.55,2:27.917,5,10.58,2:28.897
