Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
2,7.260,7.260,1,6.791,6.791,3,7.372,7.372,4,7.494,7.494,5,7.640,7.640
3,10.012,17.271,1,9.499,16.290,2,9.508,16.880,4,9.781,17.275,5,9.772,17.412
5,9.900,27.171,1,9.481,25.770,2,9.120,25.999,3,9.425,26.699,4,9.368,26.780
5,9.923,37.094,2,9.402,35.172,1,9.104,35.102,4,9.535,36.234,3,9.017,35.797
5,10.68,47.771,3,10.17,45.337,1,9.52,44.620,4,9.87,46.102,2,9.37,45.163
