Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,12.96,12.96,3,13.26,13.26,2,13.14,13.14,4,13.38,13.38
1,9.82,22.78,3,9.72,22.98,2,9.75,22.89,4,9.71,23.09
1,9.69,32.47,3,9.70,32.68,2,9.69,32.58,4,9.69,32.78
1,9.75,42.22,3,9.68,42.36,2,9.64,42.22,4,9.72,42.50
2,9.56,51.78,3,9.52,51.88,1,9.47,51.69,4,9.48,51.98
3,9.52,1:01.30,2,9.25,1:01.13,1,9.31,1:01.00,4,9.35,1:01.33
4,9.69,1:10.99,3,9.21,1:10.34,1,9.25,1:10.25,2,8.98,1:10.31
4,9.84,1:20.83,3,9.14,1:19.48,2,9.03,1:19.28,1,8.84,1:19.15
4,10.08,1:30.905,3,9.13,1:28.601,2,9.08,1:28.357,1,8.97,1:28.117
