Mariann NAGY POSITION,Mariann NAGY LAP TIME,Mariann NAGY ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
1,9.064,9.064,4,9.417,9.417,3,9.260,9.260,2,9.217,9.217,5,9.456,9.456
4,12.855,21.918,3,12.459,21.876,2,12.573,21.833,5,12.701,21.918,1,12.255,21.711
4,11.285,33.203,5,11.352,33.227,2,11.200,33.033,1,11.016,32.933,3,11.466,33.176
4,10.710,43.913,5,10.702,43.929,3,10.711,43.744,1,10.684,43.616,2,10.495,43.671
5,10.519,54.431,3,10.142,54.071,4,10.464,54.208,1,10.356,53.971,2,10.389,54.060
5,10.075,1:04.505,4,10.233,1:04.303,3,9.964,1:04.172,1,9.982,1:03.953,2,10.071,1:04.130
5,10.305,1:14.810,4,10.162,1:14.465,3,10.188,1:14.359,1,10.320,1:14.272,2,10.228,1:14.358
5,10.374,1:25.183,1,10.057,1:24.522,4,10.693,1:25.052,2,10.287,1:24.559,3,10.461,1:24.818
5,10.702,1:35.885,2,10.589,1:35.110,4,10.363,1:35.414,1,10.488,1:35.046,3,10.307,1:35.125
5,10.896,1:46.780,3,10.775,1:45.884,4,10.708,1:46.122,1,10.662,1:45.708,2,10.707,1:45.832
5,11.648,1:58.428,2,10.993,1:56.877,4,11.239,1:57.361,3,11.175,1:56.882,1,10.917,1:56.748
5,12.030,2:10.458,3,10.988,2:07.864,4,10.928,2:08.288,2,10.981,2:07.862,1,10.875,2:07.623
5,12.658,2:23.116,2,11.130,2:18.994,4,11.151,2:19.438,3,11.219,2:19.081,1,11.072,2:18.695
4,12.98,2:36.091,1,11.19,2:30.183,3,11.58,2:31.018,2,11.48,2:30.553,0,,DQ
