FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME
1,7.07,7.07,2,7.36,7.36,3,7.49,7.49,4,7.72,7.72
1,9.26,16.33,2,9.41,16.77,3,9.34,16.83,4,9.52,17.24
1,9.02,25.35,3,9.03,25.80,2,8.91,25.74,4,8.91,26.15
1,9.11,34.46,3,8.97,34.77,2,8.90,34.64,4,9.05,35.20
2,9.27,43.724,3,9.05,43.812,1,9.07,43.705,4,9.32,44.514
