Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,14.07,14.07,2,13.93,13.93,3,13.94,13.94,1,13.86,13.86
4,10.56,24.63,2,10.52,24.45,3,10.61,24.55,1,10.49,24.35
4,10.60,35.23,2,10.59,35.04,3,10.61,35.16,1,10.57,34.92
4,9.94,45.17,3,10.01,45.05,2,9.87,45.03,1,10.04,44.96
3,9.85,55.02,4,10.06,55.11,2,9.90,54.93,1,9.88,54.84
3,10.04,1:05.06,4,10.02,1:05.13,2,10.04,1:04.97,1,10.01,1:04.85
3,9.87,1:14.93,4,9.86,1:14.99,2,9.86,1:14.83,1,9.93,1:14.78
4,10.56,1:25.49,3,9.96,1:24.95,2,9.93,1:24.76,1,9.87,1:24.65
3,11.27,1:36.759,0,,PEN,2,10.12,1:34.872,1,10.15,1:34.793
