Elisa CONFORTOLA POSITION,Elisa CONFORTOLA LAP TIME,Elisa CONFORTOLA ELAPSED TIME,KIM Gilli POSITION,KIM Gilli LAP TIME,KIM Gilli ELAPSED TIME,Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME,Aurelie LEVEQUE POSITION,Aurelie LEVEQUE LAP TIME,Aurelie LEVEQUE ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME
3,14.57,14.57,4,14.71,14.71,2,14.50,,1,14.41,14.41,5,14.80,14.80
3,10.92,25.49,5,10.90,25.61,2,10.92,,1,10.99,25.40,4,10.77,25.57
2,9.83,35.32,5,9.96,35.57,1,9.78,,4,10.05,35.45,3,9.83,35.40
2,9.93,45.25,4,9.87,45.44,1,9.95,,3,9.86,45.31,5,10.19,45.59
2,9.84,55.09,4,9.79,55.23,1,9.83,,3,9.86,55.17,5,9.76,55.35
3,9.45,1:04.54,1,9.28,1:04.51,1,9.53,,4,9.58,1:04.75,5,9.48,1:04.83
2,9.67,1:14.21,1,9.17,1:13.68,3,9.74,,4,9.61,1:14.36,5,9.65,1:14.48
2,9.41,1:23.62,1,9.44,1:23.12,3,9.45,,4,9.68,1:24.04,5,9.69,1:24.17
2,9.43,1:33.05,1,9.60,1:32.72,3,9.48,,4,9.87,1:33.918,3,9.73,1:33.901
