PARK Yoon Jung POSITION,PARK Yoon Jung LAP TIME,PARK Yoon Jung ELAPSED TIME,Anna RUYSSCHAERT POSITION,Anna RUYSSCHAERT LAP TIME,Anna RUYSSCHAERT ELAPSED TIME,MATVEEVA Anna POSITION,MATVEEVA Anna LAP TIME,MATVEEVA Anna ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Kar Weng SOO POSITION,Kar Weng SOO LAP TIME,Kar Weng SOO ELAPSED TIME
2,13.52,13.52,4,13.82,13.82,3,13.64,13.64,1,13.37,13.37,5,14.27,14.27
2,10.28,23.80,4,10.21,24.03,3,10.25,23.89,1,10.29,23.66,5,10.41,24.68
2,10.25,34.05,4,10.27,34.30,3,10.27,34.16,1,10.26,33.92,5,10.49,35.17
2,10.16,44.21,4,10.20,44.50,3,10.12,44.28,1,10.19,44.11,5,10.83,46.00
2,10.28,54.49,4,10.29,54.79,3,10.32,54.60,1,10.28,54.39,5,11.44,57.44
2,10.26,1:04.75,4,10.73,1:05.52,3,10.26,1:04.86,1,10.27,1:04.66,5,11.99,1:09.43
3,10.26,1:15.01,4,11.58,1:17.10,2,10.06,1:14.92,1,10.17,1:14.83,5,12.39,1:21.82
2,10.00,1:25.01,4,12.10,1:29.20,3,10.16,1:25.08,1,10.17,1:25.00,5,13.92,1:35.74
1,9.52,1:34.53,4,12.58,1:41.78,2,9.96,1:35.04,3,10.30,1:35.30,5,13.36,1:49.10
