BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,13.16,13.16,1,12.95,12.95,4,13.32,13.32,2,13.09,13.09
1,9.93,23.09,2,10.26,23.21,4,10.09,23.41,3,10.24,23.33
1,9.76,32.85,2,9.75,32.96,4,9.79,33.20,3,9.73,33.06
1,9.54,42.39,3,9.72,42.68,4,9.53,42.73,2,9.41,42.47
3,9.26,51.65,4,9.26,51.94,2,8.91,51.64,1,9.07,51.54
3,9.18,1:00.83,4,9.07,1:01.01,2,9.17,1:00.81,1,9.17,1:00.71
3,9.31,1:10.14,4,9.25,1:10.26,2,9.24,1:10.05,1,9.19,1:09.90
3,9.41,1:19.55,4,9.47,1:19.73,2,9.19,1:19.24,1,9.26,1:19.16
3,9.43,1:28.979,4,9.86,1:29.589,2,9.42,1:28.657,1,9.40,1:28.558
