Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,12.69,12.69,3,12.94,12.94,4,13.14,13.14,2,12.79,12.79
1,9.44,22.13,3,9.49,22.43,4,9.46,22.60,2,9.46,22.25
1,9.23,31.36,3,9.14,31.57,4,9.28,31.88,2,9.19,31.44
1,9.12,40.48,3,9.09,40.66,4,9.42,41.30,2,9.09,40.53
1,9.18,49.66,3,9.18,49.84,4,9.61,50.91,2,9.20,49.73
1,9.30,58.96,3,9.28,59.12,4,9.91,1:00.82,2,9.31,59.04
2,9.49,1:08.45,3,9.38,1:08.50,4,10.20,1:11.02,1,9.23,1:08.27
3,9.44,1:17.89,2,9.20,1:17.70,4,10.46,1:21.48,1,9.35,1:17.62
3,9.54,1:27.430,2,9.40,1:27.096,4,10.71,1:32.187,1,9.47,1:27.088
