Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
1,10.07,10.07,2,10.15,10.15,3,10.28,10.28,5,10.47,10.47,6,10.66,10.66,4,10.30,10.30
3,14.39,24.46,2,14.23,24.38,1,13.89,24.17,5,14.30,24.77,6,14.26,24.92,4,14.29,24.59
3,11.71,36.17,2,11.68,36.06,1,11.73,35.90,5,11.61,36.38,6,11.62,36.54,4,11.69,36.28
3,11.40,47.57,2,11.43,47.49,1,11.44,47.34,6,11.43,47.81,4,11.11,47.65,5,11.41,47.69
3,10.99,58.56,2,11.00,58.49,1,11.08,58.42,6,11.18,58.99,4,11.12,58.77,5,11.16,58.85
2,10.39,1:08.95,3,10.59,1:09.08,1,10.43,1:08.85,5,10.17,1:09.16,6,10.43,1:09.20,4,10.28,1:09.13
3,9.96,1:18.91,4,9.98,1:19.06,1,9.97,1:18.82,6,10.07,1:19.23,2,9.69,1:18.89,5,10.00,1:19.13
4,9.71,1:28.62,2,9.47,1:28.53,3,9.72,1:28.54,6,9.63,1:28.86,1,9.55,1:28.44,5,9.49,1:28.62
5,10.01,1:38.63,1,9.78,1:38.31,3,9.98,1:38.52,6,9.92,1:38.78,2,10.01,1:38.45,4,9.98,1:38.60
3,9.86,1:48.49,2,10.15,1:48.46,5,10.03,1:48.55,6,9.94,1:48.72,1,9.90,1:48.35,4,9.90,1:48.50
2,9.92,1:58.41,6,10.60,1:59.06,4,9.92,1:58.47,3,9.71,1:58.43,1,9.95,1:58.30,5,10.47,1:58.97
4,9.79,2:08.20,5,9.66,2:08.72,3,9.70,2:08.17,2,9.66,2:08.09,1,9.59,2:07.89,6,9.85,2:08.82
4,9.73,2:17.93,5,9.39,2:18.11,3,9.62,2:17.79,2,9.60,2:17.69,1,9.65,2:17.54,6,9.73,2:18.55
5,10.07,2:27.994,4,9.54,2:27.648,3,9.70,2:27.489,2,9.77,2:27.460,1,9.83,2:27.366,6,10.19,2:28.732
