Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
1,13.27,13.27,2,13.30,13.30,4,13.60,13.60,3,13.46,13.46
1,10.67,23.94,2,10.74,24.04,4,10.63,24.23,3,10.60,24.06
1,9.95,33.89,4,9.98,34.02,2,9.74,33.97,3,9.92,33.98
1,9.46,43.35,2,9.35,43.37,4,9.76,43.73,3,9.51,43.49
2,9.34,52.69,3,9.37,52.74,4,9.04,52.77,1,9.11,52.60
3,9.63,1:02.32,1,9.32,1:02.06,4,9.67,1:02.44,2,9.63,1:02.23
3,9.14,1:11.46,1,9.05,1:11.11,4,9.08,1:11.52,2,8.97,1:11.20
3,9.49,1:20.95,1,9.35,1:20.46,4,9.47,1:20.99,2,9.32,1:20.52
4,9.74,1:30.684,1,9.36,1:29.820,3,9.38,1:30.364,2,9.35,1:29.861
