Siyu WANG POSITION,Siyu WANG LAP TIME,Siyu WANG ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,Holly HOYLAND POSITION,Holly HOYLAND LAP TIME,Holly HOYLAND ELAPSED TIME
1,8.06,8.06,4,8.53,8.53,2,8.27,8.27,3,8.43,8.43
1,10.36,18.42,4,10.58,19.11,3,10.30,18.57,2,10.09,18.52
2,10.08,28.50,4,9.86,28.97,3,9.95,28.52,1,9.80,28.32
3,10.39,38.89,4,10.13,39.10,2,10.24,38.76,1,9.82,38.14
3,10.39,49.283,4,10.37,49.471,2,10.41,49.174,1,9.95,48.095
