Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME
1,6.687,6.687,2,6.918,6.918,3,7.069,7.069,4,7.260,7.260
1,9.425,16.112,3,9.369,16.287,2,9.187,16.256,4,9.307,16.566
4,9.656,25.768,2,9.061,25.348,1,9.070,25.326,3,9.170,25.736
3,9.201,34.969,1,8.906,34.254,2,9.144,34.471,4,9.241,34.977
3,9.135,44.103,2,9.618,43.872,1,9.309,43.780,4,9.430,44.407
