YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,PARK Jang Hyuk POSITION,PARK Jang Hyuk LAP TIME,PARK Jang Hyuk ELAPSED TIME
2,13.82,13.82,1,13.62,13.62,5,14.28,14.28,3,13.91,13.91,4,14.05,14.05
2,10.29,24.11,1,10.37,23.99,5,10.18,24.46,3,10.28,24.19,4,10.24,24.29
3,10.23,34.34,1,10.13,34.12,5,10.19,34.65,2,10.04,34.23,4,10.19,34.48
2,9.74,44.08,1,9.84,43.96,5,9.71,44.36,2,9.85,44.08,4,9.71,44.19
1,9.15,53.23,4,9.73,53.69,5,9.85,54.21,3,9.39,53.47,2,9.24,53.43
2,9.15,1:02.38,4,9.36,1:03.05,5,10.46,1:04.67,3,9.16,1:02.63,1,8.81,1:02.24
2,9.06,1:11.44,4,9.51,1:12.56,5,10.88,1:15.55,3,9.22,1:11.85,1,8.91,1:11.15
2,9.33,1:20.77,4,9.94,1:22.50,5,11.36,1:26.91,3,9.55,1:21.40,1,9.11,1:20.26
2,9.61,1:30.38,4,10.40,1:32.90,5,11.73,1:38.64,3,10.02,1:31.42,1,9.59,1:29.85
