Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME
4,9.31,9.31,2,8.90,8.90,5,9.45,9.45,1,8.80,8.80,3,9.11,9.11
4,12.47,21.78,2,12.62,21.52,5,12.48,21.93,1,12.64,21.44,3,12.54,21.65
4,12.10,33.88,2,12.09,33.61,5,12.11,34.04,1,12.08,33.52,3,12.06,33.71
3,11.77,45.65,2,12.03,45.64,5,11.87,45.91,1,12.00,45.52,4,12.00,45.71
1,10.77,56.42,2,10.92,56.56,4,10.83,56.74,5,11.23,56.75,3,10.95,56.66
1,10.65,1:07.07,2,10.65,1:07.21,4,10.68,1:07.42,5,10.80,1:07.55,3,10.62,1:07.28
1,10.42,1:17.49,2,10.36,1:17.57,4,10.35,1:17.77,5,10.46,1:18.01,3,10.37,1:17.65
1,10.27,1:27.76,2,10.28,1:27.85,4,10.36,1:28.13,5,11.16,1:29.17,3,10.32,1:27.97
1,10.23,1:37.99,2,10.14,1:37.99,4,10.19,1:38.32,5,12.09,1:41.26,3,10.17,1:38.14
2,9.90,1:47.89,1,9.82,1:47.81,4,9.82,1:48.14,5,12.80,1:54.06,3,9.89,1:48.03
2,9.88,1:57.77,1,9.89,1:57.70,3,9.74,1:57.88,5,12.79,2:06.85,4,9.87,1:57.90
2,9.62,2:07.39,1,9.41,2:07.11,3,9.68,2:07.56,5,13.54,2:20.39,4,9.91,2:07.81
2,9.61,2:17.00,1,9.35,2:16.46,3,9.60,2:17.16,5,13.26,2:33.65,4,10.33,2:18.14
2,10.02,2:27.019,1,9.71,2:26.169,3,9.91,2:27.064,5,13.19,2:46.833,4,11.68,2:29.820
