Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
1,15.134,15.134,3,15.774,15.774,4,17.828,17.828,2,15.294,15.294
1,10.362,25.495,4,10.265,26.039,2,7.770,25.597,3,10.473,25.766
1,9.829,35.324,4,9.639,35.678,2,9.744,35.341,3,9.834,35.600
2,10.068,45.391,4,10.063,45.740,1,9.911,45.252,3,10.040,45.640
2,10.018,55.409,4,9.971,55.710,1,9.961,55.213,3,9.923,55.562
1,9.346,1:04.754,4,9.616,1:05.325,2,9.724,1:04.937,3,9.737,1:05.299
1,9.686,1:14.440,2,9.431,1:14.756,3,9.825,1:14.762,4,9.639,1:14.938
1,9.397,1:23.837,3,9.466,1:24.221,2,9.450,1:24.212,4,9.493,1:24.430
2,10.07,1:33.898,1,9.51,1:33.729,3,9.72,1:33.925,4,9.64,1:34.064
