Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Duygu KAN POSITION,Duygu KAN LAP TIME,Duygu KAN ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
2,10.27,10.27,3,10.33,10.33,1,10.13,10.13,5,10.48,10.48,4,10.40,10.40
2,16.73,27.00,3,16.83,27.16,1,16.71,26.84,5,17.02,27.50,4,16.95,27.35
2,16.01,43.01,3,15.99,43.15,1,16.07,42.91,5,15.89,43.39,4,15.92,43.27
2,16.79,59.80,3,16.81,59.96,1,16.73,59.64,5,16.86,1:00.25,4,16.89,1:00.16
3,14.62,1:14.42,2,14.36,1:14.32,4,14.78,1:14.42,5,14.41,1:14.66,1,14.13,1:14.29
1,10.44,1:24.86,4,10.97,1:25.29,3,10.73,1:25.15,5,11.01,1:25.67,2,10.67,1:24.96
1,10.37,1:35.23,4,10.31,1:35.60,2,10.15,1:35.30,5,10.68,1:36.35,3,10.40,1:35.36
1,10.35,1:45.58,4,10.32,1:45.92,2,10.40,1:45.70,5,11.02,1:47.37,3,10.44,1:45.80
1,10.56,1:56.14,4,10.53,1:56.45,2,10.56,1:56.26,5,11.16,1:58.53,3,10.55,1:56.35
1,10.36,2:06.50,4,10.39,2:06.84,2,10.39,2:06.65,5,11.54,2:10.07,3,10.39,2:06.74
1,10.26,2:16.76,4,10.27,2:17.11,2,10.26,2:16.91,5,12.11,2:22.18,3,10.24,2:16.98
1,9.76,2:26.52,4,9.75,2:26.86,2,9.79,2:26.70,5,12.15,2:34.33,3,9.78,2:26.76
1,10.05,2:36.57,3,9.99,2:36.85,2,10.09,2:36.79,5,12.88,2:47.21,4,10.32,2:37.08
3,11.15,2:47.717,1,10.27,2:47.120,2,10.42,2:47.203,4,13.03,3:00.238,0,,DNF
