Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
3,8.46,8.46,4,8.58,8.58,2,8.37,8.37,1,8.22,8.22,5,8.74,8.74,6,8.89,8.89
3,11.52,19.98,4,11.48,20.06,2,11.45,19.82,1,11.42,19.64,5,11.45,20.19,6,11.30,20.19
4,10.57,30.55,5,10.57,30.63,2,10.56,30.38,3,10.81,30.45,6,10.58,30.77,1,9.95,30.14
3,10.26,40.81,5,10.37,41.00,4,10.44,40.82,1,10.00,40.45,6,10.31,41.08,2,10.63,40.77
2,9.95,50.76,5,10.08,51.08,3,10.05,50.87,1,10.17,50.62,6,10.10,51.18,4,10.18,50.95
2,10.00,1:00.76,5,10.07,1:01.15,3,10.02,1:00.89,1,10.00,1:00.62,6,10.14,1:01.32,4,10.09,1:01.04
3,9.88,1:10.64,5,9.67,1:10.82,2,9.61,1:10.50,1,9.79,1:10.41,6,9.62,1:10.94,4,9.71,1:10.75
3,9.66,1:20.30,4,9.51,1:20.33,2,9.69,1:20.19,1,9.70,1:20.11,6,9.58,1:20.52,5,9.64,1:20.39
4,9.75,1:30.05,3,9.63,1:29.96,2,9.68,1:29.87,1,9.74,1:29.85,6,9.76,1:30.28,5,9.76,1:30.15
4,9.74,1:39.79,3,9.74,1:39.70,1,9.65,1:39.52,2,9.75,1:39.60,6,9.70,1:39.98,5,9.72,1:39.87
4,10.03,1:49.82,3,10.00,1:49.70,1,9.97,1:49.49,2,9.98,1:49.58,6,10.04,1:50.02,5,10.05,1:49.92
4,10.09,1:59.91,3,10.09,1:59.79,1,10.09,1:59.58,2,10.11,1:59.69,6,10.00,2:00.02,5,10.08,2:00.00
4,10.15,2:10.06,3,10.15,2:09.94,1,10.14,2:09.72,2,10.15,2:09.84,6,10.14,2:10.16,5,10.11,2:10.11
5,10.25,2:20.303,4,10.24,2:20.173,1,10.26,2:19.973,3,10.22,2:20.052,6,10.29,2:20.442,2,9.88,2:19.983
