Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
1,10.58,10.58,3,11.05,11.05,5,11.37,11.37,4,11.20,11.20,2,10.72,10.72
1,14.72,25.30,3,14.72,25.77,5,14.77,26.14,4,14.74,25.94,2,14.72,25.44
1,12.34,37.64,3,12.11,37.88,5,12.06,38.20,4,12.11,38.05,2,12.33,37.77
2,10.99,48.63,1,10.64,48.52,5,10.81,49.01,4,10.89,48.94,3,10.94,48.71
3,10.45,59.08,1,10.35,58.87,5,10.22,59.23,4,10.29,59.23,2,10.25,58.96
2,9.76,1:08.84,1,9.97,1:08.84,3,9.73,1:08.96,5,9.94,1:09.17,4,10.03,1:08.99
1,9.40,1:18.24,2,9.49,1:18.33,3,9.46,1:18.42,5,9.49,1:18.66,4,9.54,1:18.53
1,9.51,1:27.75,2,9.55,1:27.88,3,9.56,1:27.98,5,9.51,1:28.17,4,9.54,1:28.07
1,9.38,1:37.13,2,9.36,1:37.24,3,9.37,1:37.35,4,9.27,1:37.44,5,9.55,1:37.62
2,9.12,1:46.25,1,8.90,1:46.14,3,9.09,1:46.44,4,9.07,1:46.51,5,9.23,1:46.85
2,9.04,1:55.29,1,9.02,1:55.16,3,9.01,1:55.45,4,9.06,1:55.57,5,9.27,1:56.12
2,8.99,2:04.28,1,8.95,2:04.11,3,9.34,2:04.79,4,9.29,2:04.86,5,9.62,2:05.74
2,9.06,2:13.34,1,9.12,2:13.23,4,9.44,2:14.23,3,9.36,2:14.22,5,10.02,2:15.76
2,9.35,2:22.688,1,9.38,2:22.608,4,9.92,2:24.143,3,9.77,2:23.981,5,10.34,2:26.100
