Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
4,7.27,7.27,1,7.11,7.11,2,7.14,7.14,3,7.20,,5,7.42,7.42
3,9.60,16.87,5,26.52,33.63,1,8.93,16.07,4,19.94,,2,9.18,16.60
3,9.35,26.22,5,15.85,49.48,1,8.56,24.63,4,11.69,,2,8.79,25.39
3,9.59,35.81,5,12.38,1:01.86,1,8.66,33.29,4,11.58,,2,8.87,34.26
3,9.81,45.626,5,12.17,1:14.03,1,9.01,42.30,4,11.43,,2,9.11,43.37
