Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME
1,8.119,8.119,2,8.460,8.460,3,8.478,8.478,5,8.548,8.548,4,8.508,8.508,6,8.816,8.816
2,11.650,19.769,3,11.422,19.881,4,11.548,20.025,6,11.559,20.106,5,11.540,20.047,1,10.856,19.671
2,10.301,30.069,5,10.424,30.305,4,10.212,30.237,6,10.239,30.345,3,10.095,30.142,1,10.391,30.062
1,10.256,40.325,3,10.078,40.382,5,10.454,40.690,6,10.462,40.806,4,10.533,40.675,2,10.290,40.352
1,9.922,50.247,5,10.243,50.625,4,9.899,50.589,6,9.997,50.803,3,9.870,50.545,2,10.061,50.412
2,9.990,1:00.236,1,9.111,59.735,6,10.102,1:00.690,5,9.810,1:00.613,4,9.932,1:00.477,3,9.854,1:00.266
1,9.696,1:09.931,5,10.654,1:10.389,6,9.718,1:10.408,3,9.521,1:10.133,4,9.674,1:10.150,2,9.725,1:09.991
1,9.728,1:19.659,5,9.541,1:19.929,6,9.725,1:20.133,3,9.660,1:19.793,4,9.736,1:19.886,2,9.678,1:19.668
1,9.742,1:29.401,4,9.660,1:29.589,6,9.711,1:29.844,2,9.711,1:29.503,5,9.761,1:29.647,3,9.838,1:29.506
2,9.882,1:39.282,1,9.690,1:39.279,6,9.880,1:39.723,4,9.936,1:39.439,5,9.837,1:39.483,3,9.928,1:39.433
1,9.740,1:49.021,2,9.790,1:49.068,6,9.934,1:49.657,3,9.630,1:49.068,4,10.105,1:49.587,5,10.189,1:49.622
1,9.591,1:58.612,3,9.707,1:58.775,5,9.948,1:59.605,2,9.581,1:58.649,4,9.700,1:59.286,6,10.387,2:00.008
2,9.771,2:08.382,3,9.818,2:08.593,4,9.893,2:09.497,1,9.337,2:07.985,5,10.600,2:09.886,6,10.657,2:10.665
2,10.04,2:18.414,3,10.15,2:18.741,4,10.65,2:20.146,1,9.65,2:17.626,5,10.82,2:20.699,6,10.73,2:21.395
