Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
4,12.97,12.97,1,12.88,12.88,3,12.94,12.94,2,12.93,12.93,5,13.23,13.23
2,9.89,22.86,1,9.81,22.70,3,9.92,22.87,4,9.95,22.88,5,9.95,23.19
4,9.81,32.68,2,9.87,32.57,3,9.70,32.58,1,9.65,32.53,5,9.65,32.84
4,9.31,42.00,1,9.26,41.84,2,9.39,41.97,3,9.44,41.97,5,9.29,42.14
4,9.77,51.78,2,9.38,51.23,1,9.24,51.22,3,9.26,51.23,5,9.74,51.88
4,9.35,1:01.13,3,9.45,1:00.68,1,9.32,1:00.54,2,9.31,1:00.55,5,9.37,1:01.26
4,9.53,1:10.66,2,9.23,1:09.91,1,9.33,1:09.88,3,9.36,1:09.92,5,9.62,1:10.88
4,9.74,1:20.40,1,9.45,1:19.36,2,9.57,1:19.46,3,9.61,1:19.53,5,9.66,1:20.55
5,10.14,1:30.534,3,10.13,1:29.483,2,9.91,1:29.366,1,9.79,1:29.314,4,9.88,1:30.430
