START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
4,8.57,8.57,2,8.33,,3,8.45,8.45,1,8.27,8.27,6,8.86,8.86,5,8.78,8.78,7,8.89,8.89,8,9.01,9.01,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
4,12.08,20.65,2,12.16,,3,12.09,20.54,1,12.08,20.35,7,11.91,20.77,5,11.97,20.75,5,11.86,20.75,8,11.92,20.93,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
2,11.83,32.48,4,12.03,,5,12.05,32.59,1,12.04,32.39,7,12.04,32.81,6,12.01,32.76,3,11.74,32.49,8,12.00,32.93,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
1,10.58,43.06,4,10.93,,5,10.99,43.58,3,10.91,43.30,7,10.98,43.79,6,10.95,43.71,2,10.70,43.19,8,11.01,43.94,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
1,10.76,53.82,4,10.67,,5,10.63,54.21,2,10.61,53.91,7,10.72,54.51,6,10.70,54.41,3,10.75,53.94,8,10.69,54.63,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
1,10.43,1:04.25,4,10.32,,2,10.11,1:04.32,3,10.42,1:04.33,7,10.09,1:04.60,5,10.06,1:04.47,6,10.58,1:04.52,8,10.14,1:04.77,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
2,9.58,1:13.83,5,9.74,,3,9.64,1:13.96,4,9.76,1:14.09,6,9.66,1:14.26,1,9.24,1:13.71,7,9.80,1:14.32,8,9.58,1:14.35,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
2,9.34,1:23.17,5,9.31,,3,9.34,1:23.30,4,9.30,1:23.39,6,9.29,1:23.55,1,9.39,1:23.10,8,9.59,1:23.91,7,9.32,1:23.67,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
2,9.37,1:32.54,5,9.38,,3,9.36,1:32.66,4,9.36,1:32.75,6,9.44,1:32.99,1,9.37,1:32.47,8,10.04,1:33.95,7,9.36,1:33.03,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
3,9.65,1:42.19,2,9.22,,3,9.53,1:42.19,5,9.45,1:42.20,6,9.36,1:42.35,1,9.47,1:41.94,8,10.66,1:44.61,7,9.44,1:42.47,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
7,9.90,1:52.09,2,9.45,,6,9.73,1:51.92,3,9.40,1:51.60,4,9.37,1:51.72,1,9.48,1:51.42,8,11.03,1:55.64,5,9.40,1:51.87,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
6,9.46,2:01.55,2,9.47,,7,10.34,2:02.26,3,9.52,2:01.12,4,9.52,2:01.24,1,9.50,2:00.92,8,11.45,2:07.09,5,9.57,2:01.44,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
6,9.61,2:11.16,2,9.33,,7,10.77,2:13.03,3,9.49,2:10.61,4,9.53,2:10.77,1,9.31,2:10.23,8,11.06,2:18.15,5,9.62,2:11.06,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
4,9.66,2:20.824,2,9.34,,6,11.59,2:24.622,2,9.43,2:20.047,3,9.38,2:20.154,1,9.35,2:19.58,7,11.42,2:29.571,5,9.78,2:20.843,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,m,Rep.Heats,3
