GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,SLABODNIK Artsemi POSITION,SLABODNIK Artsemi LAP TIME,SLABODNIK Artsemi ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,11.84,11.84,2,11.99,11.99,3,12.18,12.18,5,12.47,12.47,4,12.31,12.31,6,12.71,,7,12.96,12.96
2,16.35,28.19,3,16.32,28.31,5,16.29,28.47,7,16.23,28.70,6,16.28,28.59,4,15.63,,1,15.16,28.12
4,14.16,42.35,3,14.01,42.32,5,14.06,42.53,7,14.14,42.84,6,14.11,42.70,1,13.75,,2,14.14,42.26
3,13.20,55.55,4,13.30,55.62,5,13.25,55.78,7,13.26,56.10,6,13.23,55.93,1,13.18,,2,13.23,55.49
2,11.63,1:07.18,5,11.79,1:07.41,3,11.53,1:07.31,7,11.58,1:07.68,6,11.65,1:07.58,1,11.82,,4,11.83,1:07.32
4,11.98,1:19.16,3,11.73,1:19.14,1,11.73,1:19.04,5,11.60,1:19.28,7,11.94,1:19.52,1,11.95,,6,12.04,1:19.36
6,10.52,1:29.68,4,10.44,1:29.58,3,10.35,1:29.39,7,10.45,1:29.73,5,10.15,1:29.67,2,10.33,,1,9.98,1:29.34
3,9.45,1:39.13,5,9.67,1:39.25,4,9.78,1:39.17,7,9.65,1:39.38,6,9.68,1:39.35,2,9.72,,1,9.69,1:39.03
3,9.39,1:48.52,5,9.45,1:48.70,4,9.44,1:48.61,6,9.33,1:48.71,7,9.42,1:48.77,2,9.33,,1,9.26,1:48.29
3,9.19,1:57.71,5,9.22,1:57.92,4,9.21,1:57.82,7,9.41,1:58.12,6,9.28,1:58.05,2,9.20,,1,9.24,1:57.53
3,9.01,2:06.72,5,8.99,2:06.91,4,9.01,2:06.83,7,9.24,2:07.36,6,9.14,2:07.19,2,9.00,,1,9.00,2:06.53
3,8.82,2:15.54,5,8.87,2:15.78,4,8.88,2:15.71,7,9.20,2:16.56,6,9.27,2:16.46,2,8.81,,1,8.83,2:15.36
3,8.80,2:24.34,4,8.81,2:24.59,4,8.88,2:24.59,7,9.83,2:26.39,6,9.60,2:26.06,2,8.90,,1,8.89,2:24.25
4,11.29,2:35.63,2,9.12,2:33.71,3,9.35,2:33.94,6,9.87,2:36.26,5,9.89,2:35.95,7,29.41,,1,9.12,2:33.37
