Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,12.73,12.73,4,12.88,12.88,3,12.80,12.80,1,12.63,12.63
4,10.25,22.98,3,10.05,22.93,1,9.89,22.69,2,10.23,22.86
4,9.63,32.61,3,9.58,32.51,1,9.63,32.32,2,9.56,32.42
4,9.61,42.22,3,9.64,42.15,1,9.59,41.91,2,9.52,41.94
3,9.48,51.70,4,9.67,51.82,2,9.64,51.55,1,9.51,51.45
1,9.24,1:00.94,4,9.43,1:01.25,3,9.48,1:01.03,2,9.55,1:01.00
1,9.03,1:09.97,4,9.35,1:10.60,2,9.31,1:10.34,3,9.51,1:10.51
1,9.24,1:19.21,4,9.44,1:20.04,2,9.33,1:19.67,3,9.29,1:19.80
1,9.67,1:28.872,4,9.84,1:29.871,2,9.68,1:29.345,3,9.76,1:29.553
