Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Nurlibek BEISEEV POSITION,Nurlibek BEISEEV LAP TIME,Nurlibek BEISEEV ELAPSED TIME,Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME
2,9.44,9.44,3,9.60,9.60,1,9.23,9.23,4,9.75,9.75,5,9.92,9.92,6,10.07,10.07
2,11.95,21.39,3,11.92,21.52,1,11.99,21.22,4,11.88,21.63,5,11.86,21.78,6,11.89,21.96
2,10.51,31.90,3,10.49,32.01,1,10.57,31.79,4,10.46,32.09,5,10.42,32.20,6,10.39,32.35
2,10.35,42.25,3,10.35,42.36,1,10.32,42.11,4,10.38,42.47,5,10.41,42.61,6,10.40,42.75
2,10.21,52.46,3,10.18,52.54,1,10.24,52.35,4,10.18,52.65,5,10.15,52.76,6,10.16,52.91
2,10.18,1:02.64,3,10.24,1:02.78,1,10.15,1:02.50,4,10.20,1:02.85,5,10.17,1:02.93,6,10.17,1:03.08
2,10.08,1:12.72,3,10.05,1:12.83,1,10.11,1:12.61,4,10.07,1:12.92,5,10.12,1:13.05,6,10.08,1:13.16
2,9.96,1:22.68,4,10.00,1:22.83,1,9.97,1:22.58,3,9.88,1:22.80,5,9.96,1:23.01,6,9.96,1:23.12
1,9.61,1:32.29,4,9.77,1:32.60,3,9.84,1:32.42,2,9.61,1:32.41,5,9.69,1:32.70,6,9.87,1:32.99
1,9.31,1:41.60,3,9.28,1:41.88,5,9.93,1:42.35,2,9.31,1:41.72,4,9.21,1:41.91,6,9.77,1:42.76
2,9.26,1:50.86,4,9.31,1:51.19,5,9.94,1:52.29,1,9.10,1:50.82,2,8.95,1:50.86,6,9.88,1:52.64
2,9.49,2:00.35,4,9.22,2:00.41,5,9.83,2:02.12,1,9.17,1:59.99,3,9.51,2:00.37,6,10.17,2:02.81
3,9.91,2:10.26,4,10.39,2:10.80,5,9.99,2:12.11,1,9.50,2:09.49,2,9.33,2:09.70,6,10.70,2:13.51
3,10.20,2:20.46,5,,2:21.996,4,,2:21.978,2,9.85,2:19.34,1,9.49,2:19.19,6,11.34,2:24.830
