Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,YANG Yang POSITION,YANG Yang LAP TIME,YANG Yang ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
1,7.22,7.22,2,7.27,7.27,3,7.71,7.71,4,7.80,
1,9.57,16.79,2,9.64,16.91,3,9.56,17.27,4,21.58,
1,9.21,26.00,2,9.19,26.10,3,8.97,26.24,4,20.69,
3,9.49,35.49,1,9.28,35.38,2,9.17,35.41,4,13.59,
3,,45.253,1,9.53,44.904,2,,45.243,4,14.56,
