WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
3,8.45,8.45,1,7.89,7.89,2,8.13,8.13,4,8.65,,5,8.74,8.74,6,8.84,8.84
3,11.05,19.50,1,11.34,19.23,2,11.24,19.37,4,10.86,,5,10.98,19.72,6,10.99,19.83
4,11.30,30.80,1,11.21,30.44,2,11.19,30.56,3,11.17,,5,11.09,30.81,6,11.16,30.99
6,11.11,41.91,2,10.93,41.37,3,10.92,41.48,4,10.93,,1,10.44,41.25,5,10.78,41.77
6,10.38,52.29,2,10.46,51.83,3,10.50,51.98,4,10.48,,1,10.43,51.68,5,10.42,52.19
6,10.33,1:02.62,2,10.40,1:02.23,3,10.36,1:02.34,5,10.35,,1,10.48,1:02.16,4,10.23,1:02.42
6,9.71,1:12.33,3,9.68,1:11.91,4,9.71,1:12.05,5,9.72,,2,9.66,1:11.82,1,9.34,1:11.76
6,9.51,1:21.84,3,9.61,1:21.52,4,9.57,1:21.62,5,9.56,,2,9.60,1:21.42,1,9.57,1:21.33
6,9.67,1:31.51,3,9.56,1:31.08,2,9.41,1:31.03,4,9.61,,5,9.95,1:31.37,1,9.65,1:30.98
4,9.67,1:41.18,6,22.21,1:53.29,5,16.90,1:47.93,2,9.46,,3,9.48,1:40.85,1,9.39,1:40.37
4,10.11,1:51.29,6,25.50,2:18.79,5,24.00,2:11.93,2,9.55,,3,9.59,1:50.44,1,9.59,1:49.96
4,10.55,2:01.84,6,15.53,2:34.32,5,16.37,2:28.30,2,9.53,,3,9.55,1:59.99,1,9.48,1:59.44
4,10.89,2:12.73,6,13.16,2:47.48,5,12.54,2:40.84,2,9.63,,3,9.66,2:09.65,1,9.65,2:09.09
4,10.90,2:23.63,6,12.52,3:00.00,5,12.00,2:52.84,2,9.68,,3,9.63,2:19.28,1,9.74,2:18.83
