Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
1,7.73,7.73,2,7.91,7.91,3,8.05,8.05,4,8.18,8.18,7,8.57,8.57,6,8.40,8.40,5,8.29,8.29
3,11.09,18.82,4,11.06,18.97,5,11.01,19.06,2,10.54,18.72,7,10.83,19.40,6,10.81,19.21,1,10.10,18.39
3,9.44,28.26,4,9.55,28.52,5,9.56,28.62,2,9.52,28.24,7,9.50,28.90,6,9.52,28.73,1,9.65,28.04
2,9.51,37.77,4,9.47,37.99,5,9.45,38.07,3,9.63,37.87,7,9.43,38.33,6,9.44,38.17,1,9.59,37.63
2,9.59,47.36,4,9.53,47.52,5,9.55,47.62,3,9.57,47.44,7,9.48,47.81,6,9.55,47.72,1,9.66,47.29
2,9.79,57.15,6,9.90,57.42,5,9.74,57.36,4,9.89,57.33,7,9.75,57.56,3,9.54,57.26,1,9.80,57.09
1,9.27,1:06.42,6,9.49,1:06.91,7,10.18,1:07.54,4,9.43,1:06.76,5,9.20,1:06.76,3,9.41,1:06.67,2,9.49,1:06.58
4,9.38,1:15.80,5,9.12,1:16.03,7,9.41,1:16.95,3,8.99,1:15.75,1,8.69,1:15.45,2,9.04,1:15.71,6,9.57,1:16.15
3,8.75,1:24.55,5,8.98,1:25.01,7,9.31,1:26.26,4,9.06,1:24.81,1,8.88,1:24.33,2,8.74,1:24.45,6,9.39,1:25.54
2,8.86,1:33.41,5,8.78,1:33.79,7,9.49,1:35.75,4,8.95,1:33.76,1,8.87,1:33.20,3,9.06,1:33.51,6,9.71,1:35.25
5,25.90,1:59.31,7,32.52,2:06.31,3,9.91,1:45.66,6,28.45,2:02.21,1,8.97,1:42.17,4,17.72,1:51.23,2,9.94,1:45.19
5,19.51,2:18.82,7,18.07,2:24.38,3,9.65,1:55.31,6,16.76,2:18.97,1,9.76,1:51.93,4,21.96,2:13.19,2,9.83,1:55.02
5,12.68,2:31.50,7,12.83,2:37.21,3,9.65,2:04.96,6,13.02,2:31.99,1,10.89,2:02.82,4,13.85,2:27.04,2,9.92,2:04.94
0,,PEN,5,10.67,2:47.875,2,9.77,2:14.727,0,,PEN,1,10.82,2:13.635,4,11.53,2:38.566,3,10.33,2:15.263
