Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
2,12.75,12.75,3,12.98,12.98,4,13.18,13.18,1,12.58,12.58
2,10.36,23.11,1,10.11,23.10,4,10.19,23.37,3,10.53,23.12
3,10.03,33.15,1,9.96,33.06,4,9.99,33.36,2,9.95,33.07
3,9.34,42.49,1,9.38,42.44,4,9.17,42.53,2,9.37,42.44
4,9.47,51.97,1,9.32,51.76,3,9.40,51.93,2,9.31,51.76
4,9.21,1:01.18,1,9.22,1:00.99,3,9.17,1:01.10,2,9.27,1:01.03
3,9.17,1:10.35,2,9.27,1:10.26,4,9.27,1:10.38,1,9.12,1:10.16
2,9.27,1:19.63,4,9.86,1:20.12,3,9.49,1:19.88,1,9.14,1:19.30
2,9.81,1:29.436,3,11.68,1:31.791,0,,DQ,1,9.62,1:28.914
