KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME
1,8.18,8.18,2,8.34,8.34,3,8.52,8.52,4,8.69,8.69,6,9.04,,5,8.87,8.87,7,9.22,9.22
1,11.57,19.75,2,11.49,19.83,3,11.43,19.95,4,11.39,20.08,5,11.09,,6,11.31,20.18,7,11.12,20.34
1,12.26,32.01,2,12.35,32.18,3,12.46,32.41,5,12.53,32.61,4,12.40,,6,12.44,32.62,7,12.45,32.79
1,12.19,44.20,5,12.16,44.34,2,11.83,44.24,4,11.70,44.31,3,11.76,,7,11.99,44.61,6,11.70,44.49
4,10.34,54.54,5,10.32,54.66,3,10.17,54.41,1,9.85,54.16,2,9.99,,7,10.27,54.88,6,10.29,54.78
4,10.39,1:04.93,5,10.41,1:05.07,3,10.46,1:04.87,1,10.60,1:04.76,2,10.57,,7,10.38,1:05.26,6,10.38,1:05.16
4,10.33,1:15.26,5,10.30,1:15.37,1,10.17,1:15.04,2,10.35,1:15.11,3,10.27,,7,10.29,1:15.55,6,10.31,1:15.47
4,10.44,1:25.70,5,10.45,1:25.82,2,10.45,1:25.49,3,10.48,1:25.59,1,10.27,,7,10.45,1:26.00,6,10.46,1:25.93
4,10.48,1:36.18,6,10.44,1:36.26,2,10.46,1:35.95,3,10.47,1:36.06,1,10.45,,7,10.37,1:36.37,5,10.32,1:36.25
4,10.12,1:46.30,7,10.67,1:46.93,2,10.14,1:46.09,3,10.12,1:46.18,1,10.22,,6,10.49,1:46.86,5,10.47,1:46.72
4,9.61,1:55.91,7,10.44,1:57.37,1,9.61,1:55.70,2,9.64,1:55.82,3,9.84,,6,10.44,1:57.30,5,10.49,1:57.21
4,10.01,2:05.92,5,10.15,2:07.52,1,9.76,2:05.46,2,9.72,2:05.54,3,9.80,,7,10.73,2:08.03,6,10.73,2:07.94
4,9.72,2:15.64,5,10.32,2:17.84,1,9.90,2:15.36,2,9.91,2:15.45,3,9.77,,6,10.85,2:18.88,7,11.22,2:19.16
2,10.28,2:25.876,4,10.78,2:28.613,1,10.04,2:25.388,3,10.50,2:25.937,2,10.32,,5,11.19,2:30.048,6,11.55,2:30.693
