Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME
4,7.63,7.63,2,7.20,7.20,1,7.14,7.14,3,7.27,7.27
4,9.60,17.23,3,9.43,16.63,1,9.24,16.38,2,9.25,16.52
4,9.43,26.66,3,8.84,25.47,1,8.92,25.30,2,8.87,25.39
4,10.02,36.68,3,9.03,34.50,1,9.07,34.37,2,9.06,34.45
3,10.85,47.53,4,24.59,59.09,2,9.43,43.80,1,9.26,43.71
