START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,7.33,7.33,4,10.70,10.70,2,7.67,7.67,3,7.78,7.78,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",500m,w,Pre-Preliminaries,3
1,9.34,16.67,4,16.66,27.36,3,9.91,17.58,2,9.79,17.57,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",500m,w,Pre-Preliminaries,3
1,9.03,25.70,4,16.29,43.65,3,9.49,27.07,2,9.27,26.84,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",500m,w,Pre-Preliminaries,3
1,9.18,34.88,4,15.82,59.47,3,9.50,36.57,2,9.45,36.29,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",500m,w,Pre-Preliminaries,3
1,9.47,44.341,4,16.10,1:15.562,3,9.65,46.214,2,9.69,45.976,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",500m,w,Pre-Preliminaries,3
