Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,11.770,11.770,2,11.860,11.860,5,12.700,12.700,3,12.340,12.340,4,12.350,12.350
1,9.370,21.140,2,9.370,21.240,5,13.320,26.020,4,9.210,21.560,3,9.080,21.440
1,9.400,30.540,2,9.460,30.700,5,11.240,37.270,3,9.270,30.830,4,9.440,30.880
1,9.620,40.160,2,9.470,40.170,5,10.740,48.020,3,9.410,40.240,4,9.430,40.310
1,9.310,49.470,2,9.340,49.510,5,12.470,1:00.490,4,9.300,49.540,3,9.200,49.510
1,9.400,58.880,2,9.400,58.920,5,10.870,1:11.360,4,10.090,59.640,3,9.600,59.120
1,9.440,1:08.320,2,9.510,1:08.430,5,11.220,1:22.590,4,10.330,1:09.970,3,9.450,1:08.570
2,9.720,1:18.050,1,9.570,1:18.000,5,11.550,1:34.140,4,10.870,1:20.840,3,9.730,1:18.300
2,9.920,1:27.970,1,9.870,1:27.870,5,11.420,1:45.570,4,10.980,1:31.820,3,9.840,1:28.140
