Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Neli TSANKOVA POSITION,Neli TSANKOVA LAP TIME,Neli TSANKOVA ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
2,9.13,9.13,5,9.42,9.42,1,8.99,8.99,6,9.58,9.58,3,9.14,9.14,4,9.23,9.23
3,12.26,21.39,5,12.19,21.61,2,12.26,21.25,6,12.16,21.74,1,11.95,21.09,4,12.26,21.49
4,11.49,32.88,1,11.03,32.64,3,11.59,32.84,6,11.41,33.15,2,11.64,32.73,5,11.53,33.02
2,10.23,43.11,1,10.35,42.99,3,10.36,43.20,6,10.43,43.58,5,10.80,43.53,4,10.25,43.27
2,10.53,53.64,1,10.56,53.55,3,10.61,53.81,5,10.46,54.04,6,10.61,54.14,4,10.65,53.92
2,10.69,1:04.33,1,10.67,1:04.22,3,10.63,1:04.44,5,10.59,1:04.63,6,10.60,1:04.74,4,10.61,1:04.53
2,10.71,1:15.04,1,10.70,1:14.92,3,10.70,1:15.14,5,10.75,1:15.38,6,10.78,1:15.52,4,10.71,1:15.24
2,10.29,1:25.33,1,10.38,1:25.30,3,10.33,1:25.47,5,10.51,1:25.89,6,10.55,1:26.07,4,10.31,1:25.55
2,9.87,1:35.20,3,10.00,1:35.30,1,9.70,1:35.17,5,10.42,1:36.31,6,10.76,1:36.83,4,9.75,1:35.30
2,9.64,1:44.84,4,9.83,1:45.13,1,9.50,1:44.67,5,10.82,1:47.13,6,11.21,1:48.04,3,9.61,1:44.91
2,9.51,1:54.35,4,9.65,1:54.78,1,9.59,1:54.26,5,11.29,1:58.42,6,11.81,1:59.85,3,9.55,1:54.46
2,9.59,2:03.94,4,9.82,2:04.60,1,9.60,2:03.86,5,11.74,2:10.16,6,12.10,2:11.95,3,9.60,2:04.06
2,9.65,2:13.59,4,10.08,2:14.68,1,9.64,2:13.50,5,12.29,2:22.45,6,13.27,2:25.22,3,9.69,2:13.75
2,9.74,2:23.327,4,10.43,2:25.101,1,9.64,2:23.131,5,12.78,2:35.226,6,12.63,2:37.843,3,9.84,2:23.583
