SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
4,12.55,12.55,1,12.35,12.35,3,12.39,12.39,5,12.84,12.84,2,12.37,12.37
3,9.37,21.92,2,9.31,21.66,1,9.11,21.50,4,9.16,22.00,5,9.91,22.28
4,8.91,30.83,3,9.06,30.72,1,9.11,30.61,5,9.20,31.20,2,8.37,30.65
3,9.08,39.91,2,8.99,39.71,1,9.03,39.64,5,9.00,40.20,4,9.27,39.92
2,9.15,49.06,3,9.40,49.11,1,9.28,48.92,5,9.08,49.28,4,9.21,49.13
1,8.78,57.84,4,9.09,58.20,2,9.01,57.93,5,9.58,58.86,3,9.02,58.15
1,8.77,1:06.61,2,8.67,1:06.87,3,8.94,1:06.87,5,10.70,1:09.56,4,8.93,1:07.08
1,8.99,1:15.60,3,9.01,1:15.88,2,8.90,1:15.77,5,12.28,1:21.84,4,9.03,1:16.11
1,9.19,1:24.784,3,9.24,1:25.120,2,9.29,1:25.053,5,13.58,1:35.420,4,9.29,1:25.398
