Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
3,13.13,13.13,4,13.24,13.24,2,13.00,13.00,1,12.92,12.92
3,10.18,23.31,4,10.23,23.47,2,10.29,23.29,1,10.26,23.18
4,9.86,33.17,3,9.55,33.02,2,9.64,32.93,1,9.61,32.79
3,9.65,42.82,2,9.63,42.65,1,9.68,42.61,4,27.18,59.97
1,9.49,52.31,3,9.82,52.47,2,9.84,52.45,4,17.20,1:17.17
1,9.18,1:01.49,2,9.25,1:01.72,3,9.39,1:01.84,4,14.11,1:31.28
1,9.29,1:10.78,2,9.20,1:10.92,3,9.18,1:11.02,4,12.76,1:44.04
1,9.30,1:20.08,2,9.28,1:20.20,3,9.27,1:20.29,4,11.33,1:55.37
1,9.31,1:29.389,2,9.41,1:29.604,3,18.26,1:38.550,0,,PEN
