Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME
1,6.96,6.96,2,7.19,,3,7.32,7.32,4,7.49,7.49,5,7.51,7.51
1,9.22,16.18,5,19.32,,2,9.03,16.35,4,9.09,16.58,3,9.04,16.55
2,8.89,25.07,5,13.73,,1,8.70,25.05,3,8.58,25.16,4,8.89,25.44
3,9.08,34.15,5,10.83,,1,8.66,33.71,2,8.66,33.82,4,8.83,34.27
4,,43.480,5,12.56,,1,8.94,42.647,2,9.01,42.824,3,,43.455
