JOO Min-Jin POSITION,JOO Min-Jin LAP TIME,JOO Min-Jin ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
3,7.394,7.394,4,7.654,7.654,2,7.213,7.213,1,7.093,7.093
3,9.756,17.150,4,9.697,17.350,2,9.582,16.795,1,9.567,16.660
3,9.438,26.587,4,9.427,26.777,2,9.351,26.146,1,9.388,26.048
3,9.658,36.244,4,9.713,36.490,2,9.532,35.678,1,9.552,35.600
2,10.01,46.250,4,10.15,46.636,3,10.62,46.292,1,9.97,45.568
