J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
2,6.404,6.404,1,6.363,6.363,3,6.735,6.735,4,6.968,6.968
1,8.987,15.391,2,9.080,15.442,3,8.963,15.697,4,8.883,15.850
1,8.734,24.124,2,8.702,24.144,3,8.560,24.257,4,8.606,24.456
1,8.700,32.823,2,8.763,32.907,3,8.868,33.124,4,8.846,33.302
1,9.38,42.195,3,9.40,42.305,2,9.18,42.295,4,9.07,42.370
