NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
4,13.47,13.47,2,12.97,12.97,3,13.23,13.23,1,12.96,12.96
4,9.65,23.12,1,9.76,22.73,3,9.57,22.80,2,9.78,22.74
3,9.39,32.51,2,9.59,32.32,4,9.84,32.64,1,9.48,32.22
3,9.53,42.04,2,9.69,42.01,4,9.59,42.23,1,9.69,41.91
1,8.83,50.87,3,9.40,51.41,4,9.25,51.48,2,9.44,51.35
1,8.76,59.63,4,9.46,1:00.87,2,9.31,1:00.79,3,9.47,1:00.82
1,8.85,1:08.48,4,9.86,1:10.73,2,9.42,1:10.21,3,9.48,1:10.30
1,9.61,1:18.09,4,9.68,1:20.41,2,9.50,1:19.71,3,9.52,1:19.82
1,10.25,1:28.339,3,9.91,1:30.314,2,10.03,1:29.731,0,,PEN
