YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
1,13.177,13.177,4,13.572,13.572,2,13.346,13.346,3,13.552,13.552
1,9.730,22.907,4,9.712,23.284,2,9.737,23.083,3,9.549,23.100
1,9.609,32.516,2,9.339,32.622,3,9.664,32.746,4,9.789,32.889
2,9.996,42.511,3,9.956,42.577,1,9.698,42.444,4,9.834,42.723
1,9.397,51.907,4,9.749,52.326,2,9.529,51.972,3,9.490,52.212
1,9.437,1:01.344,4,9.378,1:01.704,2,9.438,1:01.410,3,9.403,1:01.614
2,9.790,1:11.133,3,9.627,1:11.331,1,9.600,1:11.010,4,9.853,1:11.466
1,9.706,1:20.838,3,9.878,1:21.208,2,9.868,1:20.877,4,9.913,1:21.379
1,9.98,1:30.814,3,9.69,1:30.890,2,9.97,1:30.843,4,10.45,1:31.824
