DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
3,7.19,7.19,1,7.06,7.06,2,7.15,7.15,4,7.37,7.37
2,9.21,16.40,1,9.15,16.21,3,9.31,16.46,4,9.22,16.59
1,8.73,25.13,3,9.05,25.26,4,8.82,25.28,2,8.63,25.22
1,8.79,33.92,3,8.90,34.16,4,8.96,34.24,2,8.81,34.03
1,8.93,42.850,3,8.85,43.019,4,8.83,43.071,2,8.91,42.949
