Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
0,7.890,7.890,0,7.759,7.759,0,8.133,8.133,0,7.923,7.923,0,8.580,8.580
0,10.299,18.188,0,10.474,18.233,0,10.246,18.379,0,10.243,18.166,0,10.219,18.799
0,10.026,28.215,0,10.100,28.333,0,10.087,28.467,0,10.023,28.189,0,9.842,28.640
0,9.850,38.065,0,9.823,38.156,0,9.915,38.382,0,9.991,38.180,0,9.951,38.592
0,10.009,48.074,0,10.020,48.176,0,9.969,48.351,0,10.094,48.274,0,10.092,48.684
0,10.575,58.649,0,10.274,58.450,0,10.377,58.728,0,10.147,58.421,0,10.110,58.794
0,9.993,1:08.642,0,10.295,1:08.745,0,10.478,1:09.205,0,10.250,1:08.672,0,10.471,1:09.265
0,10.387,1:19.029,0,10.297,1:19.042,0,10.221,1:19.427,0,10.421,1:19.093,0,10.210,1:19.475
0,10.251,1:29.279,0,10.234,1:29.275,0,10.387,1:29.814,0,10.120,1:29.212,0,10.455,1:29.929
0,10.470,1:39.749,0,10.483,1:39.759,0,10.556,1:40.370,0,10.638,1:39.850,0,10.575,1:40.504
0,10.396,1:50.145,0,10.513,1:50.272,0,10.731,1:51.101,0,10.587,1:50.437,0,10.714,1:51.218
0,11.049,2:01.194,0,10.221,2:00.493,0,11.279,2:02.380,0,10.167,2:00.604,0,11.341,2:02.560
0,10.685,2:11.879,0,10.365,2:10.858,0,11.320,2:13.700,0,10.177,2:10.781,0,11.048,2:13.607
0,,,0,,,0,,,0,,,0,,
