MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,MATVEEVA Anna POSITION,MATVEEVA Anna LAP TIME,MATVEEVA Anna ELAPSED TIME,KAYE Talya POSITION,KAYE Talya LAP TIME,KAYE Talya ELAPSED TIME
2,13.29,13.29,1,13.22,13.22,3,13.40,13.40,4,13.55,13.55,5,13.71,13.71
2,9.83,23.12,1,9.81,23.03,3,9.85,23.25,4,9.74,23.29,5,9.75,23.46
2,9.72,32.84,1,9.75,32.78,4,9.82,33.07,3,9.65,32.94,5,9.69,33.15
2,9.86,42.70,1,9.84,42.62,4,9.90,42.97,3,9.87,42.81,5,9.98,43.13
2,9.86,52.56,1,9.88,52.50,4,9.80,52.77,3,9.86,52.67,5,9.92,53.05
2,9.90,1:02.46,1,9.95,1:02.45,4,9.91,1:02.68,3,9.90,1:02.57,5,10.26,1:03.31
1,9.50,1:11.96,3,10.26,1:12.71,3,10.03,1:12.71,2,9.68,1:12.25,5,10.82,1:14.13
1,9.60,1:21.56,4,10.87,1:23.58,3,10.04,1:22.75,2,9.79,1:22.04,5,11.50,1:25.63
1,10.01,1:31.573,4,11.99,1:35.579,3,10.22,1:32.972,2,10.14,1:32.185,5,12.10,1:37.736
