Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,13.00,13.00,1,12.98,12.98,4,13.22,13.22,3,13.10,13.10,5,13.36,13.36
3,10.03,23.03,1,9.84,22.82,4,9.90,23.12,2,9.85,22.95,5,9.83,23.19
3,10.04,33.07,2,10.10,32.92,5,10.10,33.22,1,9.95,32.90,4,10.02,33.21
3,9.52,42.59,2,9.52,42.44,4,9.39,42.61,1,9.53,42.43,5,9.48,42.69
5,9.63,52.22,1,9.12,51.56,3,9.24,51.85,2,9.23,51.66,4,9.31,52.00
5,9.45,1:01.67,1,8.99,1:00.55,3,8.98,1:00.83,2,8.99,1:00.65,4,8.95,1:00.95
5,9.49,1:11.16,1,8.92,1:09.47,4,9.13,1:09.96,2,8.91,1:09.56,3,8.87,1:09.82
5,9.71,1:20.87,1,9.07,1:18.54,4,9.46,1:19.42,2,9.05,1:18.61,3,9.09,1:18.91
5,9.95,1:30.82,1,9.19,1:27.73,4,10.07,1:29.49,2,9.24,1:27.85,3,9.41,1:28.32
