Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME
2,7.19,7.19,4,7.37,7.37,1,7.13,7.13,3,7.32,7.32,5,7.48,7.48
1,9.35,16.54,3,9.49,16.86,4,9.77,16.90,2,9.43,16.75,5,9.60,17.08
1,8.77,25.31,3,8.74,25.60,5,9.43,26.33,2,8.76,25.51,4,8.71,25.79
1,8.77,34.08,3,8.61,34.21,5,9.41,35.74,2,8.59,34.10,4,8.61,34.40
4,9.38,43.458,2,8.83,43.038,5,9.77,45.507,1,8.83,42.926,3,8.71,43.108
