J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Gabriel CHIASSON-POIRIER POSITION,Gabriel CHIASSON-POIRIER LAP TIME,Gabriel CHIASSON-POIRIER ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
2,12.56,12.56,4,12.75,12.75,3,12.63,12.63,1,12.47,12.47,5,12.84,12.84
2,9.72,22.28,4,9.62,22.37,1,9.60,22.23,3,9.85,22.32,5,9.65,22.49
3,9.36,31.64,1,9.06,31.43,2,9.28,31.51,4,9.44,31.76,5,9.34,31.83
3,9.44,41.08,1,9.46,40.89,2,9.46,40.97,4,9.33,41.09,5,9.42,41.25
3,9.22,50.30,1,9.17,50.06,5,9.42,50.39,2,9.12,50.21,4,9.10,50.35
3,9.17,59.47,1,9.19,59.25,5,9.23,59.62,2,9.16,59.37,4,9.21,59.56
2,8.91,1:08.38,1,9.07,1:08.32,5,9.11,1:08.73,3,9.09,1:08.46,4,9.00,1:08.56
1,9.02,1:17.40,2,9.23,1:17.55,5,9.08,1:17.81,3,9.12,1:17.58,4,9.09,1:17.65
1,9.11,1:26.501,3,9.36,1:26.907,5,9.45,1:27.252,4,9.44,1:27.020,2,9.07,1:26.714
