Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,MA Qiang POSITION,MA Qiang LAP TIME,MA Qiang ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
1,7.25,7.25,4,7.78,7.78,2,7.34,7.34,3,7.36,7.36
2,9.48,16.73,4,9.94,17.72,1,9.36,16.70,3,9.76,17.12
2,9.15,25.88,4,9.82,27.54,1,9.16,25.86,3,8.96,26.08
2,9.13,35.01,4,9.74,37.28,1,9.05,34.91,3,9.01,35.09
2,9.26,44.264,4,10.29,47.566,1,9.30,44.202,3,9.33,44.411
