HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME
3,13.24,13.24,1,13.22,13.22,2,13.24,13.24,4,13.40,13.40
3,9.54,22.78,2,9.51,22.73,1,9.41,22.65,4,9.50,22.90
2,9.53,32.31,3,9.66,32.39,1,9.63,32.28,4,9.62,32.52
1,8.98,41.29,3,9.08,41.47,2,9.08,41.36,4,9.07,41.59
1,9.00,50.29,4,9.09,50.56,2,9.00,50.36,3,8.87,50.46
1,8.97,59.26,4,8.99,59.55,2,8.97,59.33,3,8.97,59.43
1,8.96,1:08.22,2,8.99,1:08.54,4,20.77,1:20.10,3,9.13,1:08.56
1,9.07,1:17.29,2,8.95,1:17.49,4,26.01,1:46.11,3,9.34,1:17.90
1,9.04,1:26.328,2,9.08,1:26.562,3,16.64,2:02.742,0,,YC
