PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.95,12.95,3,13.07,13.07,5,13.23,13.23,2,12.98,12.98,4,13.23,13.23
4,9.98,22.93,2,9.68,22.75,5,9.82,23.05,3,9.86,22.84,1,9.44,22.67
5,9.49,32.42,2,9.50,32.25,3,9.21,32.26,4,9.48,32.32,1,9.45,32.12
5,8.90,41.32,2,8.77,41.02,1,8.65,40.91,4,8.91,41.23,3,9.01,41.13
5,8.99,50.31,2,9.04,50.06,1,9.07,49.98,4,8.99,50.22,3,9.01,50.14
4,9.19,59.50,2,9.22,59.28,1,9.22,59.20,3,9.18,59.40,5,9.46,59.60
4,8.96,1:08.46,2,9.03,1:08.31,3,9.22,1:08.42,1,8.83,1:08.23,5,9.00,1:08.60
2,8.74,1:17.20,3,9.09,1:17.40,4,9.13,1:17.55,1,8.89,1:17.12,5,9.02,1:17.62
2,9.04,1:26.239,3,9.19,1:26.581,5,9.74,1:27.286,1,8.96,1:26.078,4,9.21,1:26.827
