Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
1,6.83,6.83,2,6.97,6.97,4,7.12,7.12,3,7.08,7.08
1,8.79,15.62,2,8.72,15.69,4,8.96,16.08,3,8.82,15.90
1,8.50,24.12,2,8.52,24.21,4,8.57,24.65,3,8.40,24.30
4,25.38,49.50,1,8.54,32.75,3,8.72,33.37,2,8.57,32.87
4,16.19,1:05.663,1,8.56,41.31,3,9.09,42.449,2,8.63,41.496
