Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,7.08,7.08,1,7.01,7.01,3,7.33,7.33,4,7.49,7.49
2,9.10,16.18,1,8.88,15.89,3,8.95,16.28,4,9.13,16.62
3,8.64,24.82,1,8.65,24.54,2,8.51,24.79,4,8.87,25.49
3,8.74,33.56,1,8.67,33.21,2,8.65,33.44,4,9.00,34.49
3,8.75,42.307,1,8.79,41.991,2,8.70,42.133,4,9.11,43.599
