Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Petia GEORGIEVA POSITION,Petia GEORGIEVA LAP TIME,Petia GEORGIEVA ELAPSED TIME
4,9.31,9.31,3,9.10,9.10,2,9.02,9.02,1,8.89,8.89,5,9.52,9.52
3,13.45,22.76,1,13.33,22.43,5,14.28,23.30,2,13.67,22.56,4,13.40,22.93
3,12.73,35.50,2,12.84,35.27,4,12.24,35.54,1,12.67,35.23,5,12.68,35.62
4,12.52,48.02,3,12.49,47.77,1,12.08,47.63,2,12.46,47.69,5,12.46,48.08
4,12.14,1:00.17,2,12.14,59.91,1,12.14,59.77,3,12.31,1:00.01,5,12.22,1:00.30
4,12.07,1:12.24,1,11.96,1:11.87,2,12.17,1:11.95,3,12.02,1:12.04,5,12.05,1:12.36
4,11.56,1:23.80,2,11.77,1:23.65,3,11.70,1:23.65,1,11.58,1:23.63,5,11.72,1:24.09
4,11.05,1:34.86,3,11.06,1:34.71,1,11.02,1:34.67,2,11.07,1:34.70,5,11.02,1:35.11
4,10.70,1:45.56,1,10.58,1:45.29,2,10.61,1:45.29,3,10.63,1:45.34,5,10.70,1:45.81
4,10.11,1:55.68,3,10.20,1:55.49,1,10.15,1:55.44,2,10.13,1:55.47,5,10.46,1:56.28
4,9.98,2:05.66,3,10.03,2:05.52,1,10.00,2:05.45,2,10.02,2:05.49,5,10.49,2:06.78
4,9.98,2:15.65,2,10.01,2:15.54,1,9.86,2:15.31,3,10.11,2:15.61,5,10.82,2:17.60
3,10.17,2:25.82,2,9.77,2:25.31,1,9.94,2:25.26,4,10.33,2:25.94,5,11.32,2:28.93
3,10.28,2:36.099,2,10.31,2:35.613,1,10.33,2:35.584,4,10.64,2:36.572,5,11.72,2:40.648
