KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
3,10.13,10.13,1,10.05,10.05,4,10.28,10.28,6,10.59,10.59,5,10.38,10.38,2,10.11,10.11
4,14.86,24.99,2,14.80,24.85,5,14.83,25.11,1,14.14,24.73,6,14.73,25.11,3,14.80,24.91
2,12.96,37.95,1,12.94,37.79,5,13.24,38.35,3,13.36,38.09,6,13.35,38.46,4,13.35,38.26
2,12.53,50.48,1,12.54,50.33,4,12.36,50.71,3,12.53,50.62,5,12.34,50.80,6,12.55,50.81
3,11.32,1:01.80,2,11.35,1:01.68,5,11.28,1:01.99,4,11.32,1:01.94,1,10.69,1:01.49,6,11.33,1:02.14
1,10.61,1:12.41,3,10.81,1:12.49,2,10.43,1:12.42,5,10.73,1:12.67,4,11.09,1:12.58,6,10.60,1:12.74
3,10.81,1:23.22,1,10.53,1:23.02,2,10.70,1:23.12,5,10.76,1:23.43,4,10.70,1:23.28,6,10.79,1:23.53
3,10.62,1:33.84,1,10.71,1:33.73,2,10.71,1:33.83,6,10.69,1:34.12,5,10.70,1:33.98,4,10.44,1:33.97
3,10.04,1:43.88,1,10.05,1:43.78,2,10.03,1:43.86,6,28.95,2:03.07,5,25.07,1:59.05,4,10.01,1:43.98
4,10.11,1:53.99,1,9.92,1:53.70,2,9.95,1:53.81,6,17.18,2:20.25,5,19.63,2:18.68,3,9.93,1:53.91
4,9.74,2:03.73,1,9.81,2:03.51,2,9.81,2:03.62,5,12.20,2:32.45,6,14.87,2:33.55,3,9.79,2:03.70
4,9.76,2:13.49,1,9.80,2:13.31,2,9.83,2:13.45,5,11.86,2:44.31,6,13.83,2:47.38,3,9.77,2:13.47
4,9.92,2:23.41,1,9.69,2:23.00,2,9.81,2:23.26,5,12.36,2:56.67,6,12.26,2:59.64,3,9.90,2:23.37
3,10.04,2:33.446,1,10.18,2:33.173,4,10.58,2:33.836,5,13.65,3:10.317,6,11.54,3:11.176,2,9.88,2:33.242
