Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
2,13.97,13.97,1,13.91,13.91,3,14.00,14.00,4,14.04,14.04,5,14.36,14.36
2,10.46,24.43,1,10.42,24.33,3,10.52,24.52,4,10.54,24.58,5,10.35,24.71
3,10.07,34.50,2,10.00,34.33,1,9.70,34.22,4,10.02,34.60,5,10.09,34.80
3,9.31,43.81,1,9.20,43.53,2,9.46,43.68,4,9.29,43.89,5,9.27,44.07
3,9.09,52.90,1,9.21,52.74,2,9.14,52.82,4,9.11,53.00,5,9.10,53.17
2,9.06,1:01.96,1,9.07,1:01.81,3,9.27,1:02.09,4,9.20,1:02.20,5,9.12,1:02.29
2,8.86,1:10.82,1,8.97,1:10.78,3,9.04,1:11.13,4,8.95,1:11.15,5,9.11,1:11.40
1,8.93,1:19.75,2,9.05,1:19.83,5,9.80,1:20.93,4,9.41,1:20.56,3,9.15,1:20.55
1,9.12,1:28.87,2,9.29,1:29.12,5,9.46,1:30.39,4,9.64,1:30.20,3,9.30,1:29.85
