Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,CHAN Ho Tung POSITION,CHAN Ho Tung LAP TIME,CHAN Ho Tung ELAPSED TIME,Warre Van DAMME POSITION,Warre Van DAMME LAP TIME,Warre Van DAMME ELAPSED TIME
1,8.75,8.75,5,9.57,9.57,6,9.67,9.67,2,9.02,9.02,4,9.24,9.24,3,9.14,9.14
1,12.30,21.05,6,12.04,21.61,5,11.72,21.39,2,12.11,21.13,4,12.09,21.33,3,12.06,21.20
4,12.50,33.55,6,12.37,33.98,5,12.31,33.70,2,12.02,33.15,3,12.01,33.34,1,11.75,32.95
4,10.46,44.01,6,10.21,44.19,5,10.32,44.02,2,10.62,43.77,3,10.52,43.86,1,10.70,43.65
5,10.67,54.68,4,10.36,54.55,3,10.38,54.40,2,10.47,54.24,6,10.93,54.79,1,10.54,54.19
5,10.20,1:04.88,4,10.19,1:04.74,3,10.23,1:04.63,1,10.16,1:04.40,6,10.18,1:04.97,2,10.33,1:04.52
5,10.39,1:15.27,4,10.37,1:15.11,3,10.35,1:14.98,1,10.39,1:14.79,6,10.43,1:15.40,2,10.38,1:14.90
5,10.12,1:25.39,4,10.18,1:25.29,3,10.19,1:25.17,1,10.19,1:24.98,6,10.56,1:25.96,2,10.20,1:25.10
4,9.84,1:35.23,5,10.01,1:35.30,2,9.80,1:34.97,1,9.93,1:34.91,6,10.57,1:36.53,3,10.01,1:35.11
5,10.04,1:45.27,4,9.65,1:44.95,1,9.52,1:44.49,2,9.90,1:44.81,6,10.62,1:47.15,2,9.70,1:44.81
5,9.97,1:55.24,2,9.85,1:54.80,1,9.63,1:54.12,4,10.10,1:54.91,6,11.12,1:58.27,3,10.01,1:54.82
5,10.10,2:05.34,3,9.98,2:04.78,1,9.83,2:03.95,4,10.21,2:05.12,6,11.63,2:09.90,2,9.83,2:04.65
5,10.50,2:15.84,3,9.84,2:14.62,1,10.02,2:13.97,4,10.40,2:15.52,6,11.50,2:21.40,2,9.84,2:14.49
5,10.97,2:26.81,3,9.81,2:24.43,1,10.24,2:24.21,4,10.74,2:26.26,6,11.87,2:33.27,2,9.92,2:24.41
