Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Jamie JURAK POSITION,Jamie JURAK LAP TIME,Jamie JURAK ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
2,10.31,10.31,4,10.57,10.57,6,10.90,10.90,1,10.17,10.17,3,10.51,10.51,5,10.63,10.63
3,13.30,23.61,1,12.82,23.39,4,12.77,23.67,5,13.71,23.88,6,13.48,23.99,2,12.84,23.47
4,11.84,35.45,1,11.92,35.31,5,11.84,35.51,3,11.49,35.37,6,11.70,35.69,2,11.88,35.35
3,11.32,46.77,2,11.39,46.70,5,11.44,46.95,1,11.20,46.57,6,11.44,47.13,4,11.43,46.78
3,11.20,57.97,1,11.14,57.84,5,11.27,58.22,2,11.34,57.91,6,11.27,58.40,4,11.27,58.05
4,10.96,1:08.93,2,10.93,1:08.77,6,10.83,1:09.05,3,10.93,1:08.84,5,10.64,1:09.04,1,10.67,1:08.72
5,10.04,1:18.97,3,9.99,1:18.76,6,10.35,1:19.40,4,10.03,1:18.87,1,9.54,1:18.58,2,10.02,1:18.74
5,9.49,1:28.46,2,9.30,1:28.06,6,10.15,1:29.55,4,9.49,1:28.36,1,9.40,1:27.98,3,9.51,1:28.25
5,9.41,1:37.87,2,9.30,1:37.36,6,10.35,1:39.90,4,9.43,1:37.79,1,9.29,1:37.27,3,9.35,1:37.60
5,9.54,1:47.41,2,9.34,1:46.70,6,10.66,1:50.56,4,9.36,1:47.15,1,9.33,1:46.60,3,9.37,1:46.97
5,9.97,1:57.38,2,9.38,1:56.08,6,10.85,2:01.41,3,9.40,1:56.55,1,9.47,1:56.07,4,9.62,1:56.59
5,10.52,2:07.90,1,9.67,2:05.75,6,11.24,2:12.65,3,9.63,2:06.18,2,9.76,2:05.83,4,9.94,2:06.53
5,10.92,2:18.82,1,9.87,2:15.62,6,11.50,2:24.15,3,9.76,2:15.94,2,9.85,2:15.68,4,10.20,2:16.73
5,11.37,2:30.19,1,10.06,2:25.68,6,11.71,2:35.86,3,9.86,2:25.80,2,10.07,2:25.75,4,10.75,2:27.48
