Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,7.31,7.31,2,7.44,7.44,4,8.19,8.19,3,8.07,8.07
1,9.60,16.91,2,9.58,17.02,4,9.96,18.15,3,9.82,17.89
1,9.31,26.22,1,9.20,26.22,4,9.28,27.43,3,9.09,26.98
2,9.43,35.65,1,9.25,35.47,4,9.44,36.87,3,9.28,36.26
2,9.47,45.12,1,9.43,44.90,4,9.66,46.53,3,9.47,45.73
