Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME
2,9.18,9.18,3,9.35,9.35,1,9.03,9.03,4,9.46,9.46,5,9.50,9.50,6,9.63,9.63
2,13.34,22.52,4,13.36,22.71,1,13.31,22.34,3,13.20,22.66,5,13.36,22.86,6,13.41,23.04
2,12.77,35.29,4,12.92,35.63,1,12.80,35.14,3,12.68,35.34,5,12.89,35.75,6,12.80,35.84
4,12.16,47.45,2,11.60,47.23,3,12.15,47.29,1,11.77,47.11,5,11.80,47.55,6,11.84,47.68
4,10.94,58.39,2,10.96,58.19,1,10.81,58.10,3,11.20,58.31,5,10.93,58.48,6,10.94,58.62
5,11.10,1:09.49,2,11.09,1:09.28,1,11.09,1:09.19,3,11.10,1:09.41,4,10.98,1:09.46,6,11.02,1:09.64
5,10.48,1:19.97,1,10.12,1:19.40,2,10.34,1:19.53,4,10.37,1:19.78,3,10.17,1:19.63,6,10.45,1:20.09
5,10.39,1:30.36,1,10.53,1:29.93,2,10.47,1:30.00,4,10.42,1:30.20,3,10.43,1:30.06,6,10.37,1:30.46
5,10.59,1:40.95,2,10.60,1:40.53,1,10.47,1:40.47,4,10.62,1:40.82,3,10.60,1:40.66,6,10.58,1:41.04
5,10.01,1:50.96,2,10.05,1:50.58,1,10.09,1:50.56,4,9.94,1:50.76,3,10.09,1:50.75,6,10.04,1:51.08
4,9.57,2:00.53,1,9.46,2:00.04,2,9.66,2:00.22,3,9.62,2:00.38,5,9.80,2:00.55,6,9.53,2:00.61
6,19.13,2:19.66,1,9.66,2:09.70,3,9.70,2:09.92,2,9.46,2:09.84,5,9.70,2:10.25,4,9.32,2:09.93
6,29.93,2:49.59,1,9.59,2:19.29,4,9.63,2:19.55,2,9.55,2:19.39,5,10.01,2:20.26,3,9.58,2:19.51
6,17.80,3:07.383,1,9.63,2:28.911,4,9.76,2:29.308,2,9.63,2:29.012,5,10.30,2:30.555,3,9.61,2:29.113
